name,type,distance,moving_time,average_heartrate,total_elevation_gain,workout_type,start_date_local,mile_pace,week_start,is_warmup_cooldown,pace_percentile,distance_percentile
Failed Half Marathon 😅,Run,9.0324375,67.46666666666667,170.6,0.0,Long Run,2026-01-30 06:31:18,7.469375422378142,2026-01-26,False,0.5159235668789809,0.9171974522292994
Afternoon Run,Run,5.0291875,34.93333333333333,174.5,0.0,None,2026-01-17 17:27:44,6.946118698762639,2026-01-12,False,0.7643312101910829,0.6751592356687898
Morning Treadmill with David,Run,4.2145,31.416666666666668,180.2,0.0,None,2026-01-07 06:21:37,7.45442322141812,2026-01-05,False,0.5286624203821656,0.6050955414012739
Morning Run,Run,1.9926249999999999,19.033333333333335,145.7,15.7,Easy Run,2025-12-31 08:44:08,9.551889258306675,2025-12-29,False,0.025477707006369428,0.34394904458598724
Morning Run,Run,4.69875,41.583333333333336,160.6,74.3,None,2025-12-27 09:17:11,8.849871419703822,2025-12-22,False,0.050955414012738856,0.6560509554140127
12Ks of Christmas 2025,Run,7.552125,54.35,175.4,0.0,None,2025-12-24 09:14:57,7.19664994951752,2025-12-22,False,0.6815286624203821,0.8853503184713376
ELIIIII,Run,6.7103125,50.61666666666667,160.4,164.9,None,2025-12-19 09:43:06,7.54311616138096,2025-12-15,False,0.445859872611465,0.8535031847133758
Free from finals!,Run,8.04675,69.65,161.5,0.0,Long Run,2025-12-16 17:01:49,8.655668437567964,2025-12-15,False,0.05732484076433121,0.9044585987261147
CS done! Up next: Chem,Run,5.0291875,37.983333333333334,155.2,0.0,None,2025-12-08 13:05:45,7.552578489732851,2025-12-08,False,0.43312101910828027,0.6751592356687898
Treadmill,Run,3.842125,28.083333333333332,166.1,0.0,None,2025-12-04 18:34:04,7.309323182700545,2025-12-01,False,0.6242038216560509,0.5668789808917197
Afternoon Run,Run,5.0291875,41.983333333333334,157.7,0.0,None,2025-11-29 16:46:50,8.347935592644603,2025-11-24,False,0.09554140127388536,0.6751592356687898
Turkey Trot 10K,Run,6.25,46.0,,0.0,None,2025-11-27 16:40:36,7.36,2025-11-24,False,0.5923566878980892,0.7898089171974523
5 mile treadmill,Run,5.5425,38.65,158.4,0.0,None,2025-11-24 17:49:52,6.97338746053225,2025-11-24,False,0.7515923566878981,0.7515923566878981
Afternoon Run,Run,7.0,54.35,160.7,0.0,None,2025-11-18 17:14:56,7.764285714285714,2025-11-17,False,0.27388535031847133,0.8662420382165605
Lunch Run,Run,10.065249999999999,71.48333333333333,171.4,97.7,Long Run,2025-11-08 11:23:24,7.101992830116822,2025-11-03,False,0.7197452229299363,0.9363057324840764
Treadmill,Run,4.77775,36.35,165.3,0.0,None,2025-11-01 21:43:04,7.608183768510282,2025-10-27,False,0.39490445859872614,0.6624203821656051
Pre Linear Algebra Midterm Shakeout,Run,5.728624999999999,43.75,157.2,52.8,Easy Run,2025-10-21 17:06:43,7.637085688101422,2025-10-20,False,0.3630573248407643,0.7643312101910829
Morning Run,Run,4.0355,36.2,133.1,22.6,None,2025-10-16 10:14:21,8.970387808202206,2025-10-13,False,0.03821656050955414,0.5923566878980892
Treadmill,Run,8.247875,59.65,,0.0,Long Run,2025-10-10 23:21:42,7.2321658609035655,2025-10-06,False,0.6560509554140127,0.910828025477707
Evening Run,Run,6.548375,48.63333333333333,163.4,54.3,None,2025-10-05 20:10:01,7.426778908253319,2025-09-29,False,0.5605095541401274,0.821656050955414
Night Run,Run,5.484125000000001,37.983333333333334,169.2,57.9,None,2025-10-02 21:53:59,6.926051709859518,2025-09-29,False,0.7707006369426752,0.7452229299363057
Cut down?,Run,5.034875,35.483333333333334,175.8,24.5,None,2025-09-22 17:45:26,7.047510282446601,2025-09-22,False,0.7261146496815286,0.6942675159235668
Campus Run,Run,2.5651875,19.983333333333334,156.8,30.0,Easy Run,2025-08-31 09:40:48,7.790203770029807,2025-08-25,False,0.24203821656050956,0.3821656050955414
Waterloo Jog,Run,4.119625,39.416666666666664,133.6,38.4,None,2025-08-29 09:03:23,9.568022979437853,2025-08-25,False,0.01910828025477707,0.5987261146496815
Max’s First Half Marathon - 1:41:46,Run,13.2754375,102.26666666666667,162.0,209.4,Long Run,2025-08-23 07:22:19,7.703449823530612,2025-08-18,False,0.3248407643312102,0.9745222929936306
Morning Run,Run,3.1309375,27.033333333333335,149.2,45.9,None,2025-08-21 10:37:07,8.634261569684268,2025-08-18,False,0.07006369426751592,0.5286624203821656
La Croix Mile - 7:25 (Puke technical DQ),Run,1.0079375,5.566666666666666,147.2,0.0,Race,2025-08-20 20:56:02,5.52282920981377,2025-08-18,False,0.8343949044585988,0.20382165605095542
Wu,Run,0.5283125,4.583333333333333,164.6,0.0,Warmup/Cooldown,2025-08-20 19:56:31,8.675420955084979,2025-08-18,True,,
Morning Run,Run,5.349875,43.11666666666667,165.6,176.2,None,2025-08-20 10:15:27,8.05937833438476,2025-08-18,False,0.1464968152866242,0.7261146496815286
Morning Run,Run,6.5841875000000005,50.0,166.7,163.2,None,2025-08-18 09:48:02,7.593951417695805,2025-08-18,False,0.4012738853503185,0.8343949044585988
Lunch Run,Run,2.687875,20.85,169.5,34.5,Easy Run,2025-08-17 11:19:25,7.757057154815608,2025-08-11,False,0.2802547770700637,0.4140127388535032
Morning Run,Run,3.1430624999999996,24.216666666666665,165.1,103.9,None,2025-08-13 08:45:06,7.704799591693346,2025-08-11,False,0.3184713375796178,0.5414012738853503
Afternoon Run,Run,3.669875,28.416666666666668,158.7,42.2,None,2025-08-10 16:59:40,7.743224678406394,2025-08-04,False,0.2929936305732484,0.5477707006369427
Sunshine Coast Hike,Run,2.581875,41.5,104.0,185.1,Easy Run,2025-08-09 10:25:38,16.07358992979908,2025-08-04,False,0.006369426751592357,0.3885350318471338
All Out 5K 😂,Run,3.13875,22.55,164.3,0.0,None,2025-08-06 11:04:41,7.184388689765035,2025-08-04,False,0.6942675159235668,0.535031847133758
4x400m repeats with Winter,Run,0.9940000000000001,4.983333333333333,139.6,0.0,Workout,2025-08-01 10:04:37,5.013413816230718,2025-07-28,False,0.8662420382165605,0.1910828025477707
Wu,Run,0.7648125,5.783333333333333,156.8,0.0,Warmup/Cooldown,2025-08-01 09:52:23,7.561766228106017,2025-07-28,False,0.4267515923566879,0.15286624203821655
Speed test,Run,0.2531875,1.3,148.6,0.0,None,2025-07-30 11:41:06,5.134534682794372,2025-07-28,False,0.8535031847133758,0.012738853503184714
Morning Run,Run,4.296625000000001,32.833333333333336,173.9,104.3,None,2025-07-30 10:59:59,7.641656726694401,2025-07-28,False,0.35668789808917195,0.6369426751592356
Morning Run,Run,2.652625,20.116666666666667,156.4,35.1,Easy Run,2025-07-29 09:24:54,7.583682829901199,2025-07-28,False,0.40764331210191085,0.40764331210191085
Finally good weather,Run,6.680750000000001,50.0,144.1,175.4,None,2025-07-25 09:40:43,7.484189649365714,2025-07-21,False,0.5031847133757962,0.8471337579617835
Morning Run,Run,2.8049375,24.266666666666666,151.1,38.6,Easy Run,2025-07-23 10:36:07,8.651410830603771,2025-07-21,False,0.06369426751592357,0.45222929936305734
Morning Run,Run,2.7191875,19.966666666666665,147.2,42.2,Easy Run,2025-07-21 10:02:24,7.342879689858337,2025-07-21,False,0.5987261146496815,0.4267515923566879
Lunch Run,Run,4.2565625,35.0,150.8,104.8,None,2025-07-19 11:17:40,8.222597459804712,2025-07-14,False,0.10828025477707007,0.6114649681528662
Rolled running with Winter,Run,2.6219375,20.0,149.9,34.3,Easy Run,2025-07-18 07:59:18,7.627946890419775,2025-07-14,False,0.36942675159235666,0.39490445859872614
Morning Run,Run,2.7163749999999998,22.316666666666666,156.3,57.4,Easy Run,2025-07-15 09:39:27,8.215605969966102,2025-07-14,False,0.11464968152866242,0.42038216560509556
Morning Run,Run,5.1291875000000005,38.4,162.8,93.7,None,2025-07-11 10:23:37,7.486565854728453,2025-07-07,False,0.4968152866242038,0.7070063694267515
Morning Run,Run,4.265,31.95,163.2,103.9,None,2025-07-09 10:57:53,7.491207502930833,2025-07-07,False,0.49044585987261147,0.6178343949044586
Afternoon Run,Run,6.558,50.0,170.0,166.6,None,2025-07-07 13:08:53,7.624275693809088,2025-07-07,False,0.37579617834394907,0.8280254777070064
Struggling after five days of cruise overindulgence,Run,4.026,31.883333333333333,165.3,135.0,None,2025-07-05 11:01:48,7.919357509521444,2025-06-30,False,0.17834394904458598,0.5859872611464968
Morning Run,Run,6.4131875,58.21666666666667,147.9,58.3,None,2025-06-28 07:16:47,9.077649244882778,2025-06-23,False,0.03184713375796178,0.7961783439490446
Run,Run,6.4843125,50.016666666666666,155.6,150.0,None,2025-06-25 16:23:23,7.713488001490778,2025-06-23,False,0.3057324840764331,0.8089171974522293
NON Wu,Run,1.398125,10.8,159.2,14.8,Warmup/Cooldown,2025-06-20 10:43:43,7.724631202503353,2025-06-16,False,0.29936305732484075,0.3057324840764331
Afternoon Run,Run,2.794375,21.266666666666666,154.0,40.6,Easy Run,2025-06-16 16:12:23,7.610527100574069,2025-06-16,False,0.3885350318471338,0.445859872611465
Lunch Run,Run,6.636875,50.016666666666666,154.0,172.9,None,2025-06-14 11:17:19,7.536177292274854,2025-06-09,False,0.45222929936305734,0.8407643312101911
Afternoon Run,Run,2.95,22.583333333333332,140.7,37.4,Easy Run,2025-06-12 17:08:41,7.655367231638417,2025-06-09,False,0.34394904458598724,0.47770700636942676
Light at the End of the Tunnel Marathon,Run,26.02775,175.5,171.0,129.7,Long Run,2025-06-08 07:00:07,6.7428033541124375,2025-06-02,False,0.802547770700637,1.0
Wu,Run,0.44231250000000005,3.3333333333333335,157.5,3.6,Warmup/Cooldown,2025-06-08 06:50:13,7.5361499693843905,2025-06-02,False,0.4585987261146497,0.050955414012738856
Pre-Marathon Shakeout,Run,2.6405624999999997,20.0,152.8,87.6,Easy Run,2025-06-07 14:29:47,7.5741437667163725,2025-06-02,False,0.4140127388535032,0.4012738853503185
Afternoon Run,Run,3.0228750000000004,23.883333333333333,137.6,40.6,None,2025-06-06 16:25:03,7.9008670002343235,2025-06-02,False,0.18471337579617833,0.5159235668789809
Afternoon Run,Run,3.0169375,23.483333333333334,144.1,42.1,Easy Run,2025-06-05 16:11:46,7.783831562083515,2025-06-02,False,0.25477707006369427,0.49044585987261147
Afternoon Run,Run,2.9943125,23.416666666666668,140.6,37.8,Easy Run,2025-06-03 16:21:09,7.820381695853946,2025-06-02,False,0.21019108280254778,0.4840764331210191
Lunch Run,Run,10.1871875,74.33333333333333,151.1,13.1,Long Run,2025-06-02 11:56:21,7.296747343988057,2025-06-02,False,0.6305732484076433,0.9426751592356688
Morning Run,Run,5.033625,37.86666666666667,149.3,95.7,None,2025-05-30 08:16:32,7.522742887415465,2025-05-26,False,0.4713375796178344,0.6878980891719745
18 miles!,Run,18.108625,133.91666666666666,152.5,270.9,Long Run,2025-05-29 16:05:17,7.39518691599537,2025-05-26,False,0.5796178343949044,0.9936305732484076
Afternoon Run,Run,1.4786875000000002,12.5,144.3,45.1,Easy Run,2025-05-28 14:49:47,8.453442664525127,2025-05-26,False,0.08917197452229299,0.3184713375796178
Afternoon Run,Run,1.4273125,10.166666666666666,140.9,2.9,Easy Run,2025-05-28 13:45:00,7.122943760855921,2025-05-26,False,0.7070063694267515,0.31210191082802546
16 miler,Run,16.342,122.13333333333334,156.4,287.4,Long Run,2025-05-27 15:47:21,7.473585444458044,2025-05-26,False,0.5095541401273885,0.9872611464968153
Marathon Pace Training ~6:50min/mile,Run,7.681,51.55,157.5,100.4,None,2025-05-26 16:27:48,6.711365707590157,2025-05-26,False,0.8089171974522293,0.89171974522293
Longest run so far,Run,14.505374999999999,104.85,155.2,330.4,Long Run,2025-05-24 09:57:51,7.228355006333859,2025-05-19,False,0.6687898089171974,0.9808917197452229
Afternoon Run,Run,4.3085625,32.333333333333336,140.5,104.8,None,2025-05-23 16:58:13,7.504436417792091,2025-05-19,False,0.4840764331210191,0.643312101910828
Long run,Run,11.1704375,85.11666666666666,144.9,229.7,Long Run,2025-05-21 16:00:16,7.619814950548415,2025-05-19,False,0.3821656050955414,0.9681528662420382
More Wu,Run,0.754375,6.0,,0.0,Warmup/Cooldown,2025-05-20 23:30:00,7.953603976801988,2025-05-19,True,,
Cd,Run,1.0248125000000001,8.0,153.6,0.0,Warmup/Cooldown,2025-05-20 17:13:40,7.806306031591144,2025-05-19,False,0.22929936305732485,0.21019108280254778
Tempo 5 miles @6:30,Run,5.1903125,32.416666666666664,161.6,0.0,Workout,2025-05-20 16:35:27,6.2456098099424,2025-05-19,False,0.821656050955414,0.7133757961783439
Wu,Run,0.7570625,5.85,136.1,0.0,Warmup/Cooldown,2025-05-20 16:06:04,7.727235201849252,2025-05-19,True,,
Afternoon Run,Run,5.3458749999999995,40.35,147.5,119.7,None,2025-05-19 16:45:28,7.547875698552623,2025-05-19,False,0.4394904458598726,0.7197452229299363
Afternoon Run,Run,0.5098125,3.783333333333333,136.7,0.0,Easy Run,2025-05-19 16:18:34,7.421028973070165,2025-05-19,False,0.5668789808917197,0.09554140127388536
Long run - Marathon lock-in begins,Run,10.063125,73.78333333333333,,248.2,Long Run,2025-05-18 09:15:09,7.332049769165477,2025-05-12,False,0.6114649681528662,0.9299363057324841
Kingco 800 - 2:00.23 Photo Finish PR!,Run,0.5029375,2.0,,0.0,Race,2025-05-17 21:35:00,3.976637256120293,2025-05-12,False,0.9745222929936306,0.08598726114649681
Wu,Run,1.71975,13.383333333333333,,4.0,Warmup/Cooldown,2025-05-17 14:01:00,7.7821388767747255,2025-05-12,False,0.2611464968152866,0.3375796178343949
Pre-meet,Run,2.779375,21.716666666666665,159.5,37.8,Easy Run,2025-05-16 16:48:13,7.813507233340829,2025-05-12,False,0.21656050955414013,0.4394904458598726
Afternoon Run,Run,0.5109375,3.85,139.6,0.0,Easy Run,2025-05-16 16:22:39,7.535168195718654,2025-05-12,False,0.46496815286624205,0.10828025477707007
18th B-Day run with Winter!,Run,4.2865,29.316666666666666,147.9,103.9,None,2025-05-15 16:32:39,6.839301683580232,2025-05-12,False,0.7898089171974523,0.6305732484076433
Afternoon Run,Run,0.314125,1.2833333333333334,117.9,0.0,None,2025-05-14 17:14:35,4.085422469823585,2025-05-12,False,0.9490445859872612,0.03821656050955414
Afternoon Run,Run,0.8834375,6.566666666666666,143.4,0.0,Easy Run,2025-05-14 16:43:27,7.433085721023464,2025-05-12,False,0.5477707006369427,0.17834394904458598
Afternoon Run,Run,0.7588124999999999,6.016666666666667,130.4,0.0,Warmup/Cooldown,2025-05-14 16:24:09,7.929055816379761,2025-05-12,True,,
Afternoon Run,Run,5.3894375000000005,42.4,157.2,145.3,None,2025-05-13 16:17:54,7.867240319606637,2025-05-12,False,0.19745222929936307,0.732484076433121
Afternoon Run,Run,0.70375,4.8,133.0,0.0,Easy Run,2025-05-13 16:01:02,6.820603907637655,2025-05-12,False,0.7961783439490446,0.12738853503184713
Afternoon Run,Run,0.586375,4.933333333333334,147.6,0.0,Warmup/Cooldown,2025-05-12 17:45:05,8.413273644567612,2025-05-12,True,,
6x 300m speed somethings,Run,1.1299375,4.666666666666667,132.8,0.0,None,2025-05-12 17:15:03,4.13002194074156,2025-05-12,False,0.9426751592356688,0.2484076433121019
Afternoon Run,Run,1.160875,9.05,157.3,13.2,Easy Run,2025-05-12 16:58:51,7.795843652417357,2025-05-12,False,0.2356687898089172,0.25477707006369427
Wu,Run,0.7695624999999999,4.833333333333333,140.9,0.0,Warmup/Cooldown,2025-05-12 16:37:04,6.280624813882347,2025-05-12,False,0.8152866242038217,0.16560509554140126
